slug,date,open,high,low,close,currency
USD/CNY,2015/4/29,6.1965,6.1966,6.1902,6.1965,CNY
USD/CNY,2015/4/30,6.1902,6.1964,6.187,6.1902,CNY
USD/CNY,2015/5/1,6.191,6.191,6.191,6.191,CNY
USD/CNY,2015/5/4,6.191,6.1984,6.191,6.191,CNY
USD/CNY,2015/5/5,6.1984,6.1984,6.1952,6.1984,CNY
USD/CNY,2015/5/6,6.1952,6.1952,6.186,6.1952,CNY
USD/CNY,2015/5/7,6.189,6.198,6.189,6.189,CNY
USD/CNY,2015/5/8,6.198,6.198,6.198,6.198,CNY
USD/CNY,2015/5/11,6.198,6.2146,6.198,6.198,CNY
USD/CNY,2015/5/12,6.1992,6.1992,6.1989,6.1992,CNY
USD/CNY,2015/5/13,6.1989,6.1989,6.1946,6.1989,CNY
USD/CNY,2015/5/14,6.1946,6.1946,6.19,6.1946,CNY
USD/CNY,2015/5/15,6.1916,6.1966,6.1916,6.1916,CNY
USD/CNY,2015/5/18,6.1961,6.1961,6.1938,6.1961,CNY
USD/CNY,2015/5/19,6.1943,6.1967,6.1918,6.1943,CNY
USD/CNY,2015/5/20,6.1967,6.1967,6.1934,6.1967,CNY
USD/CNY,2015/5/21,6.1937,6.1937,6.1867,6.1937,CNY
USD/CNY,2015/5/22,6.1868,6.189,6.183,6.1868,CNY
USD/CNY,2015/5/25,6.1874,6.1925,6.1874,6.1874,CNY
USD/CNY,2015/5/26,6.192,6.1967,6.192,6.192,CNY
USD/CNY,2015/5/27,6.1939,6.1958,6.1913,6.1939,CNY
USD/CNY,2015/5/28,6.1913,6.1924,6.1876,6.1913,CNY
USD/CNY,2015/5/29,6.1912,6.1923,6.1883,6.1912,CNY
USD/CNY,2015/6/1,6.1883,6.1895,6.1876,6.1883,CNY
USD/CNY,2015/6/2,6.1895,6.1909,6.187,6.1895,CNY
USD/CNY,2015/6/3,6.1882,6.1882,6.1846,6.1882,CNY
USD/CNY,2015/6/4,6.1878,6.1933,6.1871,6.1878,CNY
USD/CNY,2015/6/5,6.1911,6.199,6.1911,6.1911,CNY
USD/CNY,2015/6/8,6.1934,6.1962,6.1934,6.1934,CNY
USD/CNY,2015/6/9,6.1956,6.196,6.1945,6.1956,CNY
USD/CNY,2015/6/10,6.1957,6.1968,6.1948,6.1957,CNY
USD/CNY,2015/6/11,6.1958,6.1978,6.1957,6.1958,CNY
USD/CNY,2015/6/12,6.1966,6.1983,6.1963,6.1966,CNY
USD/CNY,2015/6/15,6.1983,6.1993,6.1983,6.1983,CNY
USD/CNY,2015/6/16,6.199,6.199,6.1975,6.199,CNY
USD/CNY,2015/6/17,6.1986,6.1996,6.1964,6.1986,CNY
USD/CNY,2015/6/18,6.1996,6.1996,6.1976,6.1996,CNY
USD/CNY,2015/6/19,6.1979,6.2033,6.1975,6.1979,CNY
USD/CNY,2015/6/22,6.1995,6.1995,6.1995,6.1995,CNY
USD/CNY,2015/6/23,6.1995,6.1995,6.1967,6.1995,CNY
USD/CNY,2015/6/24,6.1968,6.1992,6.1966,6.1968,CNY
USD/CNY,2015/6/25,6.1971,6.1994,6.1971,6.1971,CNY
USD/CNY,2015/6/26,6.1994,6.1998,6.1984,6.1994,CNY
